category,ktons_2012,million_dollars_2012,ton_miles_2012,ktons_2013,million_dollars_2013,ton_miles_2013,ktons_2014,million_dollars_2014,ton_miles_2014,ktons_2015,million_dollars_2015,ton_miles_2015
Alcoholic beverages,2457,2558,2892,3059,2008,1925,1773,1874,2969,3063,3473,3670
Animal feed,2884,2992,2824,2997,1219,1162,3228,3138,4641,5848,4397,4221
Articles-base metal,2313,2263,3139,3358,4975,6106,6196,6591,1433,1572,1467,1572
Base metals,2345,3674,3668,3806,3368,4618,4574,4750,2111,2854,2955,3061
Basic chemicals,5160,9755,8762,8817,6796,7396,42989,44680,4487,4419,4520,4713
Building stone,162,6019,6665,7020,115,2399,2657,2798,71,5285,5869,6173
Cereal grains,27826,26924,30811,30975,7481,7239,8286,8332,25333,24549,28062,28219
Chemical prods.,6030,6026,6087,6349,5744,6120,6431,6699,876,871,845,867
Coal,61204,57828,55648,48431,3608,3012,2430,2185,104019,98185,94309,82288
Coal-n.e.c.,73047,68798,72900,75291,17240,17384,18516,18814,28183,31782,32381,34391
Crude petroleum,49391,52047,48384,51959,34117,35088,32225,34616,72255,56969,64520,65900
Electronics,2641,2538,2719,2884,73991,86827,93241,98491,1031,1006,997,1052
Fertilizers,4403,5694,5637,5692,2267,2923,2892,2918,5278,5952,5525,5716
Fuel oils,14763,24129,32311,32682,11990,18929,25470,26023,4289,4522,5539,5309
Furniture,1815,1987,2026,2194,5775,6559,6733,7281,546,553,563,603
Gasoline,9814,9852,11793,12523,9374,9254,11164,11947,8689,8615,8723,8828
Gravel,9639,9572,9886,10209,119,170,164,165,4524,4677,4830,4988
Live animals/fish,1899,2121,2063,2074,3535,3947,3837,3857,607,568,557,564
Logs,4903,7086,7274,7276,726,1048,1070,1072,383,483,536,527
Machinery,1255,1773,1837,1912,4990,16733,19759,20061,1504,1412,1265,1338
Meat/seafood,636,680,729,701,2495,2664,2782,2965,713,608,586,570
Metallic ores,15731,15926,16145,14601,975,6984,1967,1982,6864,6948,7045,6367
Milled grain prods.,1706,1894,1865,1864,715,768,788,832,1031,973,989,985
Misc. mfg. prods.,1340,1379,1481,1571,7596,29553,29249,30062,506,526,548,570
Mixed freight,2870,3052,3265,3180,8643,8919,9543,9356,1207,1153,1191,1211
Motorized vehicles,4231,6008,6007,6249,24747,44976,44845,46685,5875,6882,6665,6930
Natural sands,3215,3372,3412,3349,203,195,202,208,1543,1964,2036,2173
Newsprint/paper,1293,2246,1600,1645,924,1313,1272,1308,1206,1370,1401,1436
Nonmetal min. prods.,3538,4003,4303,4604,2315,2610,2807,2977,1993,2264,2432,2580
Nonmetallic minerals,2133,2398,2761,2878,378,453,811,847,1398,1918,2363,2466
Other ag prods.,16407,11382,15792,14924,8486,5890,8199,7741,5941,6290,6059,6412
Other foodstuffs,3118,3474,3515,3698,3329,3738,3742,3988,3467,3599,3491,3724
Paper articles,905,943,922,939,1372,1380,1331,1333,892,906,864,874
Pharmaceuticals,326,316,331,355,12089,10200,10337,11682,905,870,862,866
Plastics/rubber,2134,2730,2724,2815,6205,8922,8868,9164,2304,2527,2626,2765
Precision instruments,271,274,289,299,4026,10801,10642,10987,291,279,291,295
Printed prods.,459,450,440,428,1167,958,959,891,322,316,309,300
Textiles/leather,2421,2506,2536,2731,20711,22302,22471,24154,1704,1642,1678,1678
Tobacco prods.,112,124,123,133,908,1022,1026,1137,72,79,78,85
Transport equip.,993,1111,1089,1088,26050,29015,30606,31536,371,509,513,513
Unknown,128,130,135,138,19,19,20,20,36,36,38,38
Waste/scrap,13521,12018,11095,11002,4650,4345,4075,4047,4791,4531,4247,4100
Wood prods.,5806,6308,6464,6385,1683,1768,1723,1865,2920,2988,2904,3046