fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2012,tons_2013,tons_2014,tons_2015,tons_2020,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,value_2012,value_2013,value_2014,value_2015,value_2020,value_2025,value_2030,value_2035,value_2040,value_2045,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tmiles_2020,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,curval_2013,curval_2014,curval_2015
,011,011,,,1,,01,1,17.3922,18.2865,19.798,20.5096,23.2025,25.7482,28.293,31.456,34.6558,35.7685,32.9385,34.6321,37.4948,38.8425,43.9425,48.7637,53.5832,59.5734,65.6334,67.7407,0.3237,0.3403,0.3684,0.3817,0.4318,0.4791,0.5265,0.5854,0.6449,0.6656,36.7205,46.3411,42.7443
,011,019,,,1,,01,1,220.065,218.1548,220.2783,223.6362,237.5213,247.8935,257.0915,268.2908,282.226,293.4628,269.8723,267.5297,270.1338,274.2518,291.2794,303.9993,315.279,329.013,346.1022,359.8823,25.3876,25.1672,25.4122,25.7995,27.4014,28.598,29.6591,30.9511,32.5587,33.855,283.6623,333.8676,301.8007
,011,129,,,1,,01,1,1.0854,0.887,0.8371,0.832,0.8036,0.7851,0.7695,0.7485,0.7759,0.8419,1.551,1.2675,1.1961,1.1889,1.1483,1.1219,1.0996,1.0695,1.1088,1.203,0.6798,0.5555,0.5242,0.5211,0.5033,0.4917,0.4819,0.4688,0.486,0.5272,1.3439,1.4783,1.3083
,011,131,,,1,,01,1,6.1655,6.5007,5.7015,5.6321,5.4115,5.4685,5.6906,5.8616,5.8447,6.367,9.6137,10.1363,8.8903,8.782,8.438,8.5268,8.8731,9.1398,9.1135,9.9279,1.5839,1.67,1.4647,1.4469,1.3902,1.4049,1.4619,1.5058,1.5015,1.6357,10.7475,10.9878,9.6642
,011,139,,,1,,01,1,2.7483,2.8717,2.4586,2.3835,2.1696,2.0737,2.0484,2.0056,1.9171,2.0444,4.1406,4.3266,3.7041,3.591,3.2688,3.1243,3.0861,3.0216,2.8883,3.0801,0.8705,0.9096,0.7788,0.755,0.6872,0.6569,0.6488,0.6353,0.6072,0.6476,4.5875,4.578,3.9517
,011,280,,,1,,01,1,69.7733,76.2811,56.7414,54.7736,53.9771,51.4347,49.5071,48.4211,48.1745,50.667,97.7337,106.8494,79.4794,76.7231,75.6075,72.0462,69.3462,67.825,67.4795,70.9709,21.4402,23.4399,17.4357,16.831,16.5863,15.805,15.2127,14.879,14.8032,15.5691,113.2926,98.2313,84.43
,011,379,,,1,,01,1,7.1994,5.9376,5.6604,5.6041,5.3168,4.8887,4.6614,4.6423,4.4601,4.7431,7.5068,6.1911,5.9021,5.8434,5.5438,5.0974,4.8605,4.8405,4.6505,4.9456,3.9007,3.2171,3.0669,3.0364,2.8807,2.6488,2.5256,2.5153,2.4165,2.5699,6.5644,7.2946,6.4304
,011,472,,,1,,01,1,2.0029,1.6537,1.5149,1.4983,1.4365,1.3339,1.2478,1.1807,1.1364,1.166,4.7903,3.9551,3.6231,3.5834,3.4357,3.1902,2.9844,2.8238,2.7179,2.7886,0.4331,0.3576,0.3276,0.324,0.3106,0.2884,0.2698,0.2553,0.2457,0.2521,4.1936,4.4779,3.9434
,011,479,,,1,,01,1,23.1675,19.2125,18.0342,17.9025,17.2949,16.1794,15.5367,15.2484,14.9278,15.8093,19.9392,16.5354,15.5212,15.4078,14.8849,13.9249,13.3718,13.1236,12.8477,13.6063,6.2874,5.2141,4.8943,4.8585,4.6936,4.3909,4.2165,4.1382,4.0512,4.2904,17.5325,19.1832,16.9555
,012,012,,,1,,01,1,13.2773,14.0422,14.6936,15.2288,17.6121,19.5733,21.3932,23.4495,25.536,27.0528,45.6133,48.241,50.479,52.3174,60.5053,67.2427,73.495,80.5592,87.7273,92.9381,0.2979,0.315,0.3297,0.3417,0.3951,0.4391,0.48,0.5261,0.5729,0.6069,51.15,62.3887,57.5727
,012,019,,,1,,01,1,24.5375,24.7136,24.4123,24.4025,24.444,24.2313,24.212,24.6132,25.4241,26.1194,28.105,28.3067,27.9615,27.9504,27.9979,27.7543,27.7322,28.1917,29.1205,29.9168,7.739,7.7945,7.6995,7.6964,7.7095,7.6424,7.6363,7.7628,8.0186,8.2379,30.0137,34.5586,30.758
,012,129,,,1,,01,1,5.3376,4.4316,4.0914,4.0041,3.6473,3.3847,3.1961,3.0284,3.0828,3.3047,7.4554,6.1899,5.7148,5.5928,5.0944,4.7277,4.4642,4.23,4.306,4.6159,2.6306,2.1841,2.0164,1.9734,1.7975,1.6681,1.5752,1.4925,1.5194,1.6287,6.5632,7.0631,6.1546
,012,223,,,1,,01,1,19.8625,21.1966,24.2307,24.9922,25.7579,26.3565,27.2355,28.4567,29.4616,31.7921,26.4818,28.2605,32.3057,33.3211,34.3419,35.1399,36.3119,37.9401,39.2798,42.3869,2.6047,2.7797,3.1776,3.2774,3.3778,3.4563,3.5716,3.7318,3.8635,4.1692,29.9647,39.9277,36.6682
,012,229,,,1,,01,1,3.4855,3.7283,3.1217,3.0122,2.7833,2.5415,2.3809,2.2795,2.2285,2.329,4.413,4.7204,3.9524,3.8137,3.5239,3.2177,3.0144,2.8861,2.8215,2.9487,1.4543,1.5557,1.3025,1.2568,1.1613,1.0604,0.9934,0.9512,0.9299,0.9718,5.0051,4.8849,4.1968
,012,280,,,1,,01,1,18.0795,20.082,14.6135,13.8894,12.9091,11.6838,10.835,10.3232,10.0852,10.4798,24.7049,27.4412,19.9687,18.9792,17.6398,15.9655,14.8056,14.1063,13.781,14.3202,4.6635,5.18,3.7695,3.5827,3.3298,3.0138,2.7948,2.6628,2.6014,2.7032,29.096,24.68,20.8857
,019,011,,,1,,01,1,788.9758,832.4467,906.4626,944.4059,1102.4392,1253.4224,1406.8981,1592.9762,1787.7485,1869.4486,1006.5064,1061.9627,1156.3857,1204.7905,1406.3955,1599.0066,1794.7975,2032.1796,2280.6532,2384.879,91.7244,96.7783,105.3832,109.7944,128.1669,145.7199,163.5626,185.1956,207.8394,217.3376,1126.0013,1429.2165,1325.813
,019,012,,,1,,01,1,1.6255,1.698,1.8267,1.9338,2.4469,2.9333,3.3991,3.8952,4.4003,4.7804,4.5386,4.741,5.1004,5.3995,6.8319,8.19,9.4907,10.8758,12.2862,13.3474,0.5117,0.5345,0.5751,0.6088,0.7703,0.9234,1.07,1.2262,1.3852,1.5049,5.0269,6.3038,5.9419
,019,019,,,1,,01,1,2018.8945,2008.374,2039.6415,2082.5559,2282.3142,2440.4421,2585.3809,2747.676,2944.2961,3101.8442,2598.1483,2584.6093,2624.8477,2680.075,2937.1473,3140.6447,3327.1687,3536.029,3789.0625,3991.8137,58.3926,58.0884,58.9927,60.2339,66.0115,70.5851,74.7772,79.4712,85.1581,89.7149,2740.4667,3244.1386,2949.2914
,019,123,,,1,,01,1,3.0519,2.2846,2.3786,2.4062,2.3407,2.3472,2.3532,2.3177,2.469,2.7381,10.325,7.7292,8.0472,8.1405,7.9189,7.9409,7.9612,7.841,8.353,9.2633,1.8083,1.3537,1.4094,1.4257,1.3869,1.3908,1.3943,1.3733,1.4629,1.6224,8.1953,9.9458,8.9582
,019,129,,,1,,01,1,1.0311,0.8456,0.8026,0.8023,0.7996,0.8004,0.8013,0.7938,0.8382,0.9214,5.633,4.6193,4.3846,4.383,4.368,4.3724,4.3775,4.3363,4.5793,5.0338,0.6882,0.5643,0.5357,0.5355,0.5336,0.5342,0.5348,0.5298,0.5594,0.615,4.8979,5.4191,4.8233
,019,131,,,1,,01,1,55.6967,58.9301,51.9844,51.6447,51.202,53.0111,56.3496,59.1118,60.0405,66.2673,70.2518,74.3302,65.5693,65.141,64.5825,66.8644,71.0753,74.5593,75.7308,83.5849,15.8414,16.761,14.7855,14.6889,14.563,15.0775,16.027,16.8127,17.0768,18.8479,78.8125,81.0393,71.6845
,019,139,,,1,,01,1,32.802,34.3952,29.6169,28.8768,27.1227,26.5602,26.7993,26.7223,26.0195,28.1131,47.7379,50.0565,43.1026,42.0255,39.4727,38.6541,39.0019,38.8899,37.867,40.914,11.8432,12.4184,10.6933,10.426,9.7927,9.5896,9.6759,9.6481,9.3944,10.1503,53.075,53.272,46.247
,019,209,,,1,,01,1,40.115,44.1161,33.3603,32.562,32.7515,31.2565,29.3838,27.4594,26.2165,27.753,98.633,108.4708,82.0248,80.062,80.5279,76.8522,72.2475,67.516,64.4599,68.2378,36.4989,40.1394,30.3531,29.6268,29.7992,28.439,26.735,24.9841,23.8533,25.2513,115.0118,101.3772,88.1043
,019,280,,,1,,01,1,44.5821,48.9109,36.5924,35.525,36.1236,35.267,34.6747,34.5385,35.0034,37.2993,69.4519,76.1955,57.0052,55.3424,56.2749,54.9404,54.0178,53.8055,54.5298,58.1064,13.5686,14.8861,11.1369,10.8121,10.9943,10.7336,10.5533,10.5118,10.6533,11.3521,80.7902,70.4547,60.9016
,019,319,,,1,,01,1,35.047,31.3403,29.0635,29.7009,28.9185,27.8543,26.282,23.8932,22.0626,23.2177,98,87.6351,81.2686,83.051,80.8631,77.8876,73.4909,66.8111,61.6924,64.9223,40.8854,36.5612,33.9051,34.6487,33.7359,32.4945,30.6603,27.8735,25.7379,27.0855,92.9197,100.4426,91.3936
,019,379,,,1,,01,1,0.3973,0.3288,0.3153,0.3139,0.3073,0.2895,0.282,0.286,0.2799,0.3016,1.7818,1.4747,1.4139,1.4079,1.3782,1.2984,1.2646,1.2826,1.2552,1.3525,0.2203,0.1823,0.1748,0.174,0.1704,0.1605,0.1563,0.1585,0.1552,0.1672,1.5636,1.7475,1.5493
,019,409,,,1,,01,1,1.5107,1.6859,1.3978,1.4081,1.3129,1.2174,1.1354,1.0454,0.9723,1.0048,5.9511,6.6411,5.5065,5.547,5.1718,4.7957,4.4728,4.1182,3.8302,3.9584,1.3471,1.5033,1.2465,1.2556,1.1707,1.0856,1.0125,0.9322,0.867,0.896,7.0416,6.8057,6.1042
,019,473,,,1,,01,1,7.6568,6.3607,5.911,5.8307,5.9284,5.6446,5.4551,5.5543,5.3146,5.5625,10.7037,8.8919,8.2632,8.1509,8.2875,7.8907,7.6258,7.7645,7.4294,7.776,2.5072,2.0828,1.9355,1.9092,1.9413,1.8483,1.7863,1.8187,1.7403,1.8214,9.4281,10.2128,8.9697
,019,479,,,1,,01,1,13.1086,10.9089,10.2989,10.2821,10.2496,9.8238,9.6363,9.6316,9.605,10.3061,10.6963,8.9014,8.4037,8.39,8.3634,8.016,7.863,7.8592,7.8374,8.4095,4.2277,3.5183,3.3216,3.3161,3.3056,3.1683,3.1079,3.1063,3.0977,3.3239,9.4382,10.3864,9.2328
,019,484,,,1,,01,1,3.3356,3.416,2.7387,2.6454,2.4496,2.2462,2.0789,1.8951,1.7564,1.833,7.2215,7.3956,5.9291,5.7273,5.3033,4.863,4.5009,4.1029,3.8026,3.9685,2.7805,2.8476,2.2829,2.2052,2.0419,1.8724,1.733,1.5797,1.4641,1.528,7.8416,7.328,6.3026
,019,489,,,1,,01,1,79.921,79.6687,63.4332,61.2427,58.4063,54.2841,50.8938,47.0034,44.2908,46.7359,219.954,219.2597,174.5773,168.5486,160.7424,149.3976,140.067,129.36,121.8946,128.6238,46.3984,46.2519,36.8263,35.5546,33.9079,31.5148,29.5465,27.2879,25.7131,27.1326,232.4815,215.766,185.4795
,020,020,,,1,,01,1,2687.4685,2557.7603,2494.5549,2836.0562,2959.7737,3366.7754,3935.2524,4586.1118,5425.938,6069.0059,1728.5356,1645.1094,1604.4568,1824.1048,1903.6779,2165.4547,2531.0898,2949.712,3489.8742,3903.485,530.2375,504.6461,492.1757,559.5539,583.9633,664.2648,776.4253,904.8399,1070.5376,1197.4149,1744.313,1983.0028,2007.3381
,041,041,,,1,,01,1,9.4271,8.0744,8.5333,8.735,8.7784,8.6311,8.5667,8.3769,8.2218,8.4668,26.3959,22.6083,23.8934,24.458,24.5794,24.1671,23.9867,23.4553,23.0211,23.707,0.4304,0.3686,0.3896,0.3988,0.4007,0.394,0.3911,0.3824,0.3753,0.3865,23.9716,29.5307,26.9148
,041,042,,,1,,01,1,10.873,9.4939,10.0537,10.2454,11.2387,12.0241,13.2975,14.0095,14.9695,16.2678,30.4444,26.5829,28.1502,28.6871,31.4683,33.6674,37.233,39.2266,41.9147,45.5499,1.2422,1.0846,1.1486,1.1705,1.284,1.3737,1.5192,1.6005,1.7102,1.8585,28.1859,34.7918,31.5687
,041,061,,,1,,01,1,117.3168,106.754,113.0699,107.2314,121.201,133.4077,142.7123,150.8607,158.4261,170.2733,351.0104,319.4067,338.3039,320.8349,362.6319,399.1541,426.9936,451.3735,474.0091,509.4556,46.8166,42.6014,45.1218,42.7919,48.3667,53.2379,56.951,60.2027,63.2218,67.9495,338.6676,418.1213,353.0631
,041,069,,,1,,01,1,47.9217,41.9075,42.7999,38.538,38.4003,38.2591,37.7589,37.9956,38.3023,39.8496,98.5453,86.1778,88.013,79.2487,78.9657,78.6754,77.6467,78.1334,78.7642,81.946,41.8722,36.6172,37.397,33.673,33.5528,33.4294,32.9923,33.1991,33.4672,34.8191,91.3745,108.7783,87.2093
,042,041,,,1,,01,1,4.5427,4.0461,4.4045,4.5846,4.8117,4.9205,4.9409,4.9307,4.8807,5.1064,12.7196,11.3291,12.3327,12.837,13.4729,13.7776,13.8346,13.8059,13.666,14.298,0.519,0.4622,0.5032,0.5238,0.5497,0.5621,0.5645,0.5633,0.5576,0.5834,12.0123,15.2424,14.1265
,042,042,,,1,,01,1,1.9711,1.7898,1.9522,2.023,2.3175,2.5788,2.8853,3.1022,3.3431,3.6911,5.5191,5.0114,5.4662,5.6644,6.4891,7.2207,8.0788,8.6862,9.3607,10.335,0.0941,0.0855,0.0932,0.0966,0.1107,0.1231,0.1378,0.1481,0.1596,0.1762,5.3136,6.7559,6.2334
,042,069,,,1,,01,1,46.8534,42.6081,44.8224,41.0397,42.7068,44.2543,44.1864,45.3764,46.1333,48.7636,121.7986,110.7626,116.5188,106.6854,111.0194,115.0421,114.8656,117.9591,119.9265,126.7642,40.6087,36.9292,38.8483,35.5698,37.0148,38.356,38.2971,39.3286,39.9845,42.2643,117.4418,144.0096,117.4021
,042,350,,,1,,01,1,2.5822,2.3026,2.5055,2.6557,3.2483,3.5718,3.6971,3.9262,4.121,4.3231,12.422,11.077,12.0529,12.7758,15.6264,17.1824,17.7852,18.8876,19.8247,20.797,1.6514,1.4726,1.6023,1.6984,2.0773,2.2842,2.3643,2.5109,2.6355,2.7647,11.745,14.8966,14.0591
,049,041,,,1,,01,1,1.158,0.9459,0.9852,0.9766,0.8845,0.8007,0.7336,0.6795,0.6343,0.6267,3.2425,2.6486,2.7585,2.7346,2.4767,2.242,2.0542,1.9026,1.7761,1.7547,0.2684,0.2193,0.2284,0.2264,0.205,0.1856,0.1701,0.1575,0.147,0.1453,2.8083,3.4093,3.0093
,049,042,,,1,,01,1,2.437,2.0293,2.1178,2.0901,2.0663,2.0353,2.0778,2.0734,2.1072,2.197,6.1612,5.1305,5.3542,5.2842,5.2239,5.1456,5.2532,5.242,5.3275,5.5543,0.6972,0.5805,0.6058,0.5979,0.5911,0.5822,0.5944,0.5931,0.6028,0.6285,5.4399,6.6174,5.815
,049,049,,,1,,01,1,0.3611,0.3542,0.3193,0.3106,0.3006,0.2851,0.2656,0.2513,0.238,0.2363,1.0109,0.9917,0.8939,0.8694,0.8416,0.7981,0.7435,0.7034,0.6663,0.6615,0.0309,0.0303,0.0273,0.0265,0.0257,0.0244,0.0227,0.0215,0.0203,0.0202,1.0515,1.1048,0.9567
,049,061,,,1,,01,1,112.4343,97.5708,101.8446,93.5392,95.2817,96.558,95.3532,95.4707,95.3597,98.3263,300.3378,260.634,272.0504,249.8647,254.5193,257.9285,254.7101,255.0242,254.7276,262.6521,61.2717,53.1718,55.5008,50.9747,51.9243,52.6198,51.9633,52.0273,51.9668,53.5835,276.3508,336.2364,274.9639
,049,321,,,1,,01,1,3.0163,2.5736,2.6799,2.4579,2.3987,2.3671,2.2612,2.2254,2.1725,2.2025,11.0954,9.467,9.8579,9.0415,8.8235,8.7072,8.3177,8.1861,7.9913,8.1018,1.5485,1.3213,1.3758,1.2619,1.2314,1.2152,1.1609,1.1425,1.1153,1.1307,10.0379,12.1837,9.9497
,049,350,,,1,,01,1,2.761,2.2579,2.3506,2.373,2.5046,2.4379,2.3025,2.2694,2.2465,2.2253,9.3146,7.6173,7.93,8.0055,8.4497,8.2246,7.7679,7.6562,7.5788,7.5075,1.6683,1.3643,1.4203,1.4338,1.5134,1.4731,1.3913,1.3713,1.3574,1.3447,8.0766,9.801,8.8097
,049,499,,,1,,01,1,7.779,6.3348,6.6739,6.7606,5.7624,4.8751,4.0673,3.5825,3.15,3.0131,22.0745,17.9764,18.9386,19.1846,16.352,13.8342,11.5417,10.166,8.9388,8.5503,5.8476,4.762,5.0169,5.0821,4.3317,3.6647,3.0574,2.693,2.3679,2.265,19.0604,23.4069,21.1117
,050,050,,,1,,01,1,3594.3823,3637.6292,3736.2434,3835.2112,4301.3535,4735.0127,5145.5063,5599.3125,6076.3203,6410.2856,4711.972,4768.6655,4897.9415,5027.681,5638.7595,6207.255,6745.382,7340.2885,7965.611,8403.415,121.2536,122.7125,126.0391,129.3777,145.1027,159.7318,173.5795,188.8882,204.9797,216.2458,5056.2261,6053.5326,5532.7169
,050,202,,,1,,01,1,4.2434,5.397,4.2428,4.2673,4.1362,3.8469,3.5901,3.3476,3.1679,3.2478,9.545,12.1399,9.5437,9.5988,9.3038,8.6531,8.0755,7.53,7.1258,7.3055,1.7892,2.2756,1.7889,1.7992,1.744,1.622,1.5137,1.4115,1.3357,1.3694,12.872,11.7954,10.563
